

				----* Redefined br17 Matrix *----


( 100000000.000,  100000000,  100000000.000 ) ( 2.823,  3,  3.423 ) ( 4.666,  5,  5.292 ) ( 47.760,  48,  48.458 ) ( 47.571,  48,  48.399 ) ( 7.830,  8,  8.444 ) ( 7.616,  8,  8.305 ) ( 4.778,  5,  5.106 ) ( 4.863,  5,  5.246 ) ( 2.841,  3,  3.166 ) ( 2.505,  3,  3.278 ) ( -0.148,  0,  0.102 ) ( 2.896,  3,  3.251 ) ( 4.687,  5,  5.328 ) ( 7.659,  8,  8.343 ) ( 7.834,  8,  8.365 ) ( 4.720,  5,  5.241 ) 

( 2.877,  3,  3.343 ) ( 100000000.000,  100000000,  100000000.000 ) ( 2.692,  3,  3.221 ) ( 47.550,  48,  48.391 ) ( 47.518,  48,  48.470 ) ( 7.684,  8,  8.157 ) ( 7.715,  8,  8.194 ) ( 4.555,  5,  5.184 ) ( 4.588,  5,  5.437 ) ( -0.499,  0,  0.500 ) ( -0.345,  0,  0.257 ) ( 2.794,  3,  3.219 ) ( -0.436,  0,  0.109 ) ( 2.750,  3,  3.137 ) ( 7.629,  8,  8.122 ) ( 7.896,  8,  8.468 ) ( 4.790,  5,  5.209 ) 

( 4.665,  5,  5.376 ) ( 2.565,  3,  3.391 ) ( 100000000.000,  100000000,  100000000.000 ) ( 71.603,  72,  72.287 ) ( 71.717,  72,  72.480 ) ( 47.602,  48,  48.143 ) ( 47.660,  48,  48.254 ) ( 23.606,  24,  24.344 ) ( 23.671,  24,  24.245 ) ( 2.839,  3,  3.190 ) ( 2.730,  3,  3.421 ) ( 4.693,  5,  5.496 ) ( 2.599,  3,  3.238 ) ( -0.168,  0,  0.363 ) ( 47.703,  48,  48.125 ) ( 47.620,  48,  48.302 ) ( 23.841,  24,  24.480 ) 

( 47.843,  48,  48.462 ) ( 47.623,  48,  48.221 ) ( 73.729,  74,  74.128 ) ( 100000000.000,  100000000,  100000000.000 ) ( -0.161,  0,  0.451 ) ( 5.571,  6,  6.333 ) ( 5.823,  6,  6.171 ) ( 11.573,  12,  12.290 ) ( 11.838,  12,  12.302 ) ( 47.607,  48,  48.262 ) ( 47.788,  48,  48.327 ) ( 47.627,  48,  48.402 ) ( 47.611,  48,  48.290 ) ( 73.851,  74,  74.247 ) ( 5.566,  6,  6.114 ) ( 5.693,  6,  6.365 ) ( 11.730,  12,  12.142 ) 

( 47.520,  48,  48.469 ) ( 47.680,  48,  48.238 ) ( 73.711,  74,  74.250 ) ( -0.439,  0,  0.227 ) ( 100000000.000,  100000000,  100000000.000 ) ( 5.507,  6,  6.219 ) ( 5.604,  6,  6.327 ) ( 11.822,  12,  12.405 ) ( 11.564,  12,  12.259 ) ( 47.700,  48,  48.456 ) ( 47.889,  48,  48.498 ) ( 47.671,  48,  48.120 ) ( 47.687,  48,  48.178 ) ( 73.563,  74,  74.351 ) ( 5.637,  6,  6.179 ) ( 5.563,  6,  6.149 ) ( 11.856,  12,  12.397 ) 

( 7.774,  8,  8.476 ) ( 7.786,  8,  8.235 ) ( 49.844,  50,  50.393 ) ( 5.566,  6,  6.383 ) ( 5.660,  6,  6.399 ) ( 100000000.000,  100000000,  100000000.000 ) ( -0.101,  0,  0.124 ) ( 7.578,  8,  8.441 ) ( 7.816,  8,  8.146 ) ( 7.679,  8,  8.106 ) ( 7.854,  8,  8.282 ) ( 7.599,  8,  8.374 ) ( 7.683,  8,  8.130 ) ( 49.725,  50,  50.181 ) ( -0.378,  0,  0.216 ) ( -0.275,  0,  0.193 ) ( 7.669,  8,  8.313 ) 

( 7.649,  8,  8.164 ) ( 7.698,  8,  8.485 ) ( 49.622,  50,  50.470 ) ( 5.824,  6,  6.234 ) ( 5.829,  6,  6.498 ) ( -0.283,  0,  0.499 ) ( 100000000.000,  100000000,  100000000.000 ) ( 7.862,  8,  8.275 ) ( 7.527,  8,  8.119 ) ( 7.542,  8,  8.216 ) ( 7.809,  8,  8.408 ) ( 7.736,  8,  8.181 ) ( 7.649,  8,  8.342 ) ( 49.719,  50,  50.287 ) ( -0.339,  0,  0.354 ) ( -0.442,  0,  0.432 ) ( 7.650,  8,  8.388 ) 

( 4.674,  5,  5.250 ) ( 4.826,  5,  5.395 ) ( 25.678,  26,  26.462 ) ( 11.803,  12,  12.176 ) ( 11.658,  12,  12.379 ) ( 7.666,  8,  8.241 ) ( 7.702,  8,  8.132 ) ( 100000000.000,  100000000,  100000000.000 ) ( -0.348,  0,  0.376 ) ( 4.578,  5,  5.160 ) ( 4.670,  5,  5.447 ) ( 4.535,  5,  5.346 ) ( 4.609,  5,  5.117 ) ( 25.633,  26,  26.491 ) ( 7.774,  8,  8.328 ) ( 7.778,  8,  8.170 ) ( -0.143,  0,  0.448 ) 

( 4.560,  5,  5.398 ) ( 4.838,  5,  5.231 ) ( 25.868,  26,  26.131 ) ( 11.644,  12,  12.428 ) ( 11.682,  12,  12.279 ) ( 7.736,  8,  8.219 ) ( 7.714,  8,  8.300 ) ( -0.161,  0,  0.229 ) ( 100000000.000,  100000000,  100000000.000 ) ( 4.569,  5,  5.484 ) ( 4.551,  5,  5.390 ) ( 4.780,  5,  5.478 ) ( 4.849,  5,  5.126 ) ( 25.586,  26,  26.310 ) ( 7.656,  8,  8.482 ) ( 7.871,  8,  8.450 ) ( -0.362,  0,  0.229 ) 

( 2.858,  3,  3.302 ) ( -0.191,  0,  0.216 ) ( 2.532,  3,  3.320 ) ( 47.635,  48,  48.146 ) ( 47.703,  48,  48.252 ) ( 7.701,  8,  8.417 ) ( 7.696,  8,  8.253 ) ( 4.625,  5,  5.313 ) ( 4.657,  5,  5.258 ) ( 100000000.000,  100000000,  100000000.000 ) ( -0.140,  0,  0.349 ) ( 2.555,  3,  3.297 ) ( -0.399,  0,  0.299 ) ( 2.748,  3,  3.414 ) ( 7.679,  8,  8.243 ) ( 7.518,  8,  8.352 ) ( 4.829,  5,  5.250 ) 

( 2.847,  3,  3.397 ) ( -0.481,  0,  0.345 ) ( 2.889,  3,  3.232 ) ( 47.878,  48,  48.356 ) ( 47.847,  48,  48.439 ) ( 7.554,  8,  8.339 ) ( 7.611,  8,  8.442 ) ( 4.894,  5,  5.151 ) ( 4.617,  5,  5.347 ) ( -0.187,  0,  0.126 ) ( 100000000.000,  100000000,  100000000.000 ) ( 2.764,  3,  3.228 ) ( -0.247,  0,  0.364 ) ( 2.579,  3,  3.423 ) ( 7.689,  8,  8.344 ) ( 7.581,  8,  8.460 ) ( 4.842,  5,  5.352 ) 

( -0.261,  0,  0.201 ) ( 2.845,  3,  3.442 ) ( 4.874,  5,  5.271 ) ( 47.671,  48,  48.221 ) ( 47.681,  48,  48.190 ) ( 7.775,  8,  8.144 ) ( 7.577,  8,  8.154 ) ( 4.786,  5,  5.415 ) ( 4.542,  5,  5.416 ) ( 2.602,  3,  3.346 ) ( 2.756,  3,  3.443 ) ( 100000000.000,  100000000,  100000000.000 ) ( 2.808,  3,  3.200 ) ( 4.683,  5,  5.494 ) ( 7.878,  8,  8.133 ) ( 7.690,  8,  8.271 ) ( 4.862,  5,  5.204 ) 

( 2.543,  3,  3.193 ) ( -0.159,  0,  0.150 ) ( 2.527,  3,  3.132 ) ( 47.881,  48,  48.123 ) ( 47.765,  48,  48.466 ) ( 7.741,  8,  8.273 ) ( 7.522,  8,  8.435 ) ( 4.686,  5,  5.437 ) ( 4.623,  5,  5.259 ) ( -0.204,  0,  0.102 ) ( -0.310,  0,  0.482 ) ( 2.741,  3,  3.196 ) ( 100000000.000,  100000000,  100000000.000 ) ( 2.626,  3,  3.478 ) ( 7.726,  8,  8.456 ) ( 7.897,  8,  8.476 ) ( 4.659,  5,  5.414 ) 

( 4.669,  5,  5.157 ) ( 2.811,  3,  3.253 ) ( -0.102,  0,  0.267 ) ( 71.867,  72,  72.364 ) ( 71.558,  72,  72.126 ) ( 47.576,  48,  48.365 ) ( 47.623,  48,  48.421 ) ( 23.688,  24,  24.374 ) ( 23.843,  24,  24.376 ) ( 2.609,  3,  3.411 ) ( 2.888,  3,  3.447 ) ( 4.642,  5,  5.383 ) ( 2.866,  3,  3.321 ) ( 100000000.000,  100000000,  100000000.000 ) ( 47.790,  48,  48.158 ) ( 47.507,  48,  48.348 ) ( 23.783,  24,  24.469 ) 

( 7.753,  8,  8.378 ) ( 7.813,  8,  8.162 ) ( 49.804,  50,  50.309 ) ( 5.539,  6,  6.143 ) ( 5.539,  6,  6.277 ) ( -0.132,  0,  0.413 ) ( -0.169,  0,  0.490 ) ( 7.590,  8,  8.448 ) ( 7.816,  8,  8.283 ) ( 7.898,  8,  8.400 ) ( 7.854,  8,  8.262 ) ( 7.776,  8,  8.497 ) ( 7.885,  8,  8.201 ) ( 49.824,  50,  50.199 ) ( 100000000.000,  100000000,  100000000.000 ) ( -0.454,  0,  0.476 ) ( 7.822,  8,  8.412 ) 

( 7.642,  8,  8.363 ) ( 7.536,  8,  8.282 ) ( 49.531,  50,  50.366 ) ( 5.840,  6,  6.355 ) ( 5.672,  6,  6.269 ) ( -0.477,  0,  0.316 ) ( -0.331,  0,  0.315 ) ( 7.798,  8,  8.259 ) ( 7.760,  8,  8.115 ) ( 7.582,  8,  8.179 ) ( 7.872,  8,  8.256 ) ( 7.664,  8,  8.128 ) ( 7.821,  8,  8.162 ) ( 49.642,  50,  50.282 ) ( -0.342,  0,  0.379 ) ( 100000000.000,  100000000,  100000000.000 ) ( 7.741,  8,  8.434 ) 

